41 377 215 26242 537597 30039 657192
41 454 408 26242 537597 29344 633920
377 454 591 26242 537597 31242 699506
260 482 379 26353 541957 91440 3025908
232 263 332 26481 547469 33093 763983
321 352 341 26527 549282 39974 1004147
111 142 202 26638 552896 54661 1569071
372 445 349 26642 553005 200850 8739267
38 407 171 26677 554336 93065 3094373
217 401 420 26739 556874 59953 1760962
126 233 57 26898 564295 35420 833431
233 346 399 27065 569348 1613659 146431443
56 387 141 27239 575006 65035 1939987
401 492 391 27329 577531 30403 667668
127 198 116 27333 577565 44271 1171884
336 420 360 27470 581144 29011 623534
74 476 234 27520 582666 43681 1148154
58 294 205 27531 583052 123935 4608730
30 296 235 27619 585765 180651 7606932
104 464 546 27690 587951 85641 2774262
17 341 89 27945 597585 28980 622915
115 480 127 27959 597954 34767 813690
172 228 387 28283 605526 49218 1381344
270 370 264 28303 605937 82351 2649026
73 115 101 28318 606397 72897 2255967
366 478 458 28396 607976 196472 8514308
313 453 395 28626 613970 35084 821843
32 105 60 28888 620884 35355 831020
228 332 299 28892 620916 38788 951777
140 407 201 28967 622619 30420 668508
358 517 330 28980 622915 165609 6831712
80 512 388 29011 623534 219223 9929864
100 313 216 29103 626897 50063 1413381
225 290 256 29274 632085 35115 823027
243 498 540 29344 633920 46114 1258954
305 498 526 29408 636294 83770 2706829
210 296 286 29559 642323 35390 831988
90 286 161 29678 645987 31564 712169
29 305 129 29698 646653 94273 3150452
186 359 408 29713 647015 87726 2850002
185 483 352 29944 653924 103503 3591900
50 143 65 30013 656320 35007 819617
208 497 293 30039 657192 153317 6202375
93 313 228 30074 658649 38825 953187
76 358 308 30288 664710 41177 1058352
212 257 106 30301 665060 218745 9906538
141 510 459 30403 667668 105752 3711333
20 380 390 30409 667772 37746 907899
91 526 273 30420 668508 38364 935410
25 387 125 30422 668545 63923 1907667
13 420 222 30492 672183 217885 9862162
45 417 383 30666 679245 105948 3724906
34 238 396 30762 682912 41068 1053246
145 439 229 30792 684257 33268 771695
145 157 124 30821 685541 72995 2259249
148 298 180 31066 693850 51451 1460023
238 333 462 31088 694511 48833 1359782
344 441 427 31145 696479 32298 735652
138 393 159 31204 698499 105236 3683678
331 499 717 31242 699506 45308 1213724
111 213 74 31291 702264 58166 1703257
274 361 347 31424 707051 38788 951777
467 534 307 31564 712169 56399 1634816
209 332 333 31712 717640 96335 3248677
392 490 488 31847 721761 47212 1293664
12 472 96 31851 721800 73128 2263744
168 172 204 31944 725258 35007 819617
175 220 178 31993 726616 82137 2639807
30 335 244 32107 730260 36241 859897
146 404 216 32181 732588 44025 1161788
70 152 84 32255 734714 45626 1236686
178 253 197 32287 735327 35432 833894
488 554 607 32298 735652 55365 1595568
157 489 279 32343 737130 52501 1491139
210 348 269 32406 739429 50424 1427980
155 251 229 32421 740088 48975 1367993
185 223 189 32606 746593 68427 2088707
231 268 493 32648 747939 58800 1723848
46 52 64 32779 753081 34190 800772
273 352 459 32888 756811 45269 1210406
317 338 150 32890 756832 62243 1838879
190 496 530 33086 763664 356323 19172920
73 501 361 33093 763983 36241 859897
413 550 441 33268 771695 144850 5691904
274 407 335 33360 774982 51745 1469144
219 441 183 33378 775821 74310 2303756
19 433 71 33417 777445 52746 1499133
214 232 248 33456 779110 46952 1287680
1 57 18 33526 781288 84136 2724357
87 105 106 33647 785413 50841 1440369
138 363 490 33737 788230 62323 1840990
133 401 352 33945 794312 37605 902887
356 370 292 33947 794327 38169 927215
100 134 120 34075 797898 38825 953187
87 575 118 34190 800772 47315 1296434
87 356 168 34310 803555 208733 9260119
9 218 108 34320 803734 58711 1720942
110 141 151 34364 805102 87116 2823870
32 575 72 34384 805540 42354 1108097
90 166 132 34416 806291 51228 1453476
161 279 298 34566 809294 37946 916807
28 425 199 34646 810996 525896 32080008
437 518 324 34767 813690 62954 1865983
152 334 393 34865 815623 39625 987953
181 526 308 34897 816470 45183 1206331
538 563 269 35007 819617 41133 1056050
281 314 257 35066 821333 91440 3025908
457 523 491 35084 821843 100976 3466203
164 530 351 35115 823027 136648 5249016
187 524 212 35355 831020 109595 3939082
414 533 421 35390 831988 53473 1522496
379 507 202 35420 833431 40300 1018251
37 568 244 35432 833894 3469553 406823305
65 298 169 35610 841005 59509 1746254
415 416 240 35811 846803 120615 4413686
187 352 420 35891 849254 82950 2674594
162 443 314 36026 853426 57484 1676015
18 74 23 36041 853907 58232 1705256
142 481 260 36059 854419 45219 1207919
18 116 77 36151 857436 41177 1058352
410 412 378 36210 859211 40372 1021785
30 554 445 36227 859571 40062 1007618
565 579 605 36241 859897 101536 3492564
66 449 398 36267 861176 39372 977866
117 191 139 36375 866687 473910 27907037
156 398 111 36477 870990 784860 54721869
73 139 111 37044 887744 59087 1733441
130 384 316 37088 888434 127901 4776271
422 568 413 37134 889103 39553 985327
67 206 204 37141 889218 55365 1595568
98 211 180 37190 890715 38879 955591
2 263 122 37302 893380 0 0
258 518 222 37328 894039 38169 927215
28 275 195 37365 895124 69353 2125058
441 468 755 37400 895982 39169 968792
119 526 223 37458 897948 65960 1977453
538 588 417 37605 902887 80409 2573164
136 161 178 37666 905395 165443 6822489
45 251 188 37741 907834 59614 1749777
483 544 650 37746 907899 40300 1018251
83 383 199 37755 908259 269999 13259636
450 597 482 37946 916807 497269 29713437
238 464 900 37992 918697 53517 1524659
36 66 62 38008 919429 56513 1639780
589 629 514 38169 927215 48535 1346690
99 380 418 38353 934857 42771 1121355
418 545 389 38364 935410 416717 23526019
26 367 69 38409 937168 199063 8657542
223 310 313 38481 940491 87707 2848699
525 558 646 38788 951777 41299 1065273
540 590 348 38825 953187 48975 1367993
325 627 330 38879 955591 41133 1056050
121 363 461 38884 955792 63672 1896544
69 473 90 39121 966833 73026 2260211
144 631 851 39169 968792 55162 1584662
142 150 192 39192 969618 44215 1169696
9 620 402 39372 977866 126814 4723271
83 625 458 39553 985327 540413 33208715
152 600 464 39625 987953 39974 1004147
17 492 124 39680 990554 42398 1109521
127 381 184 39954 1003354 59511 1746262
502 655 805 39974 1004147 940493 70415235
89 618 464 40062 1007618 43029 1129295
608 636 852 40300 1018251 45269 1210406
401 617 655 40372 1021785 69935 2153768
172 302 270 40377 1022111 63590 1892885
132 489 282 40410 1024077 118587 4336033
132 600 455 40491 1028489 44297 1172663
183 489 298 40686 1038384 50016 1411800
60 315 70 40716 1039891 58800 1723848
99 356 146 40841 1044507 53390 1519948
357 431 317 40890 1046653 50854 1440628
87 102 85 40916 1047510 83034 2677671
311 549 443 41068 1053246 63328 1882953
330 554 597 41117 1055292 41942 1092250
7 97 44 41127 1055890 124601 4639201
602 648 599 41133 1056050 97606 3313959
541 616 385 41177 1058352 45010 1199914
540 646 874 41299 1065273 43808 1152614
26 442 112 41523 1077216 64583 1930394
436 671 875 41942 1092250 76743 2401220
344 600 681 42007 1095117 139659 5403930
69 480 97 42196 1102677 217147 9823123
77 387 141 42337 1107562 43029 1129295
23 595 88 42354 1108097 43326 1138393
541 656 432 42398 1109521 82398 2651101
187 307 313 42443 1111104 48833 1359782
68 396 58 42633 1117477 55658 1608859
171 642 519 42771 1121355 280155 13919456
76 339 252 42955 1127217 47865 1317407
659 680 605 43029 1129295 153993 6229217
2 296 219 43194 1134645 278662 13843185
132 681 150 43326 1138393 45101 1203056
14 550 239 43434 1141653 139601 5401317
142 157 219 43463 1142582 98873 3374750
454 474 605 43590 1145734 125061 4662265
99 330 202 43593 1145752 81558 2622218
472 513 319 43681 1148154 140968 5475105
471 675 1079 43808 1152614 82137 2639807
411 595 135 43829 1153680 58341 1709371
5 36 34 43901 1156674 70784 2186643
298 616 191 43961 1159110 44215 1169696
370 566 394 44025 1161788 74310 2303756
48 83 62 44124 1165786 62087 1834561
144 413 308 44198 1168767 61634 1820640
652 698 383 44215 1169696 53390 1519948
338 511 146 44271 1171884 135401 5180711
41 664 471 44297 1172663 87568 2843186
75 428 323 44476 1181269 63672 1896544
443 467 340 44581 1185835 56905 1654209
46 300 197 44586 1185982 124116 4615769
9 105 56 44804 1193530 51968 1476060
39 358 272 44842 1194832 58580 1716615
207 674 524 45010 1199914 48478 1343985
518 689 277 45101 1203056 58166 1703257
101 512 396 45106 1203174 47577 1303357
252 601 441 45183 1206331 217885 9862162
90 254 254 45199 1207013 64009 1910930
36 615 288 45219 1207919 502911 30069765
576 660 1311 45269 1210406 65691 1962868
479 556 830 45308 1213724 65908 1974163
141 567 152 45626 1236686 69118 2115081
325 455 516 45895 1248738 91601 3035519
485 531 1001 46114 1258954 47671 1306058
129 681 169 46402 1272173 97636 3315472
239 267 220 46640 1279547 59994 1762397
23 123 64 46750 1282858 55162 1584662
172 176 246 46844 1285432 62582 1850820
87 584 302 46952 1287680 93078 3094637
215 348 260 47171 1292806 240145 11308842
75 561 511 47212 1293664 70987 2192083
306 591 233 47315 1296434 75608 2352169
0 507 58 47364 1297713 223844 10247520
190 455 483 47515 1301582 69160 2116565
190 712 513 47577 1303357 97058 3287096
209 659 713 47662 1305744 104930 3662187
511 720 1117 47671 1306058 105820 3714828
115 364 218 47714 1308585 72982 2258604
268 540 573 47737 1309988 126956 4730066
326 447 354 47840 1316093 53048 1508621
19 686 266 47865 1317407 57461 1675335
431 561 638 48219 1333647 78403 2480488
180 710 646 48478 1343985 87043 2820571
230 641 625 48535 1346690 187243 7971064
283 440 465 48705 1354223 56957 1656474
553 683 775 48833 1359782 135401 5180711
213 660 884 48917 1364097 104277 3632526
572 647 577 48975 1367993 100718 3453349
370 519 565 49218 1381344 66486 2000119
86 486 122 49325 1386216 787152 54941132
283 451 213 49436 1391434 51745 1469144
52 326 125 49462 1392616 78189 2470623
200 313 212 49912 1409080 51451 1460023
203 313 200 49979 1410922 111986 4056859
89 267 118 49986 1411041 178591 7497088
501 665 630 50016 1411800 74730 2317891
150 449 396 50023 1412123 65178 1945167
136 529 269 50063 1413381 293906 14830755
116 488 246 50150 1417269 51395 1458555
251 443 364 50159 1417487 219975 9970700
30 226 145 50161 1417526 66824 2019593
441 453 355 50244 1420680 75197 2334850
8 571 276 50424 1427980 67353 2044529
